country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,name,policy.description
Malaysia,Customs (Prohibition Of Exports) Order P.u. (A) 122 2023,ICT products,Since April 2023,https://www.customs.gov.my/en/pg/Customs%20Order/PU(A)%20122-%20Perintah%20Kastam%20(Larangan%20Mengenai%20Eksport)%202023.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Export restrictions
Malaysia,Strategic Trade Act 2010,ICT products,Since 2010,https://umresearch.um.edu.my/wp-content/uploads/2024/05/Act-708-STRATEGIC-TRADE-ACT-2010.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Export restrictions
Singapore,"Regulation Of Imports And Exports Act (Chapter 272a, Section 3) Regulation Of Imports And Exports Regulations",Cross-cutting,Since December 1995 last amended in 2024,https://sso.agc.gov.sg/SL/RIEA1995-RG1,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Export restrictions
Australia,Customs (Prohibited Exports) Regulations 1958,Defence and Strategic Goods List (DSGL) and goods containing DSGL technology,"Since January 1958, last amended in October 2024",https://www.legislation.gov.au/F1996B03403,Traditional trade policies,Pacific,Sectoral,Non-technical NTMs,Export restrictions
Singapore,Strategic Goods Control Order 2024,Cross-cutting,Since October 2024,https://sso.agc.gov.sg/Act/SGCA2002,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Export restrictions
Malaysia,Standards Of Malaysia Act (Act 549) 1996,Cross-cutting,"Since 1996, last amended in April 2012",https://jsm.gov.my/images/1-about-dsm/corporate-info/document/Act_549_-_Standards_of_Malaysia_Act_1996_as_at_30_April_2012.pdf,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Technical standard issues
Australia,Nominating Organisation Guide,Electrical products,Since November 2021,https://www.standards.org.au/documents/nominating-organisation-guide,Traditional trade policies,Pacific,Sectoral,Standards & procedures,Technical standard issues
Singapore,Enterprise Singapore Board Act 2018,Cross-cutting,Since April 2018 amended in 2020,https://sso.agc.gov.sg/Act/ESBA2018,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Technical standard issues
Australia,Structure And Operation Of Standardisation Committees (Sg-002),Electrical products,Since May 2024,https://www.standards.org.au/getmedia/00a7a293-b416-4bb5-81f7-79e9a6cf2107/SG-002-Structure-and-Operation-of-Standardisation-Committees.pdf.aspx,Traditional trade policies,Pacific,Sectoral,Standards & procedures,Technical standard issues
Australia,Radiocommunications Act 1992,Electrical products,"Since December 1992, last amended in October 2024",https://www.legislation.gov.au/C2004A04465,Traditional trade policies,Pacific,Sectoral,Standards & procedures,Self-certification limitations
Malaysia,Communications And Multimedia Act (Act 588) 1998,"Several electronic products, including netbook, tablet PC, mobile phone, security devices, smart TV, WiFi/3G/Bluetooth module and broadcasting equipment","Since April 1999, last amended in 2005",https://www.vertic.org/media/National%20Legislation/Malaysia/MY_Communications_and_Multimedia_Act.pdf,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Self-certification limitations
Singapore,Asean MRA For Electronical And Electronic Equipment - Singapore,Cross-cutting,Since July 2012,https://asean.org/asean-sectoral-mutual-recognition-arrangement-for-electrical-and-electronic-equipment/,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Self-certification limitations
Australia,Telecommunications Act 1997,Electrical products,"Since April 1997, last amended in October 2024",https://www.legislation.gov.au/C2004A05145,Traditional trade policies,Pacific,Sectoral,Standards & procedures,Self-certification limitations
Malaysia,Electricity Regulations 1994,"Several electronic products, including netbook, tablet PC, mobile phone, security devices, smart TV, WiFi/3G/Bluetooth module and broadcasting equipment",Since January 1994,https://policy.asiapacificenergy.org/sites/default/files/Electricity%20Regulations%201994.pdf,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Self-certification limitations
Malaysia,Asean MRA For Electrical And Electronic Equipment - Malaysia,Cross-cutting,Since 2012,https://asean.org/asean-sectoral-mutual-recognition-arrangement-for-electrical-and-electronic-equipment/,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Self-certification limitations
Malaysia,Electricity Supply Act (Act 447) 1990,"Several electronic products, including netbook, tablet PC, mobile phone, security devices, smart TV, WiFi/3G/Bluetooth module and broadcasting equipment","Since August 1990, last amended in January 2016",https://www.st.gov.my/contents/2020/AKTA/Electric/Act%20447%20-%20Electricity%20Supply%20Act%201990.pdf,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Self-certification limitations
Malaysia,Communications And Multimedia (Technical Standards) Regulations 2000,"Several electronic products, including netbook, tablet PC, mobile phone, security devices, smart TV, WiFi/3G/Bluetooth module and broadcasting equipment",Since March 2000,https://www.dataguidance.com/sites/default/files/communications-and-multimedia-technical-standards-regulations-2000.pdf,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Self-certification limitations
Malaysia,Standards Of Malaysia Act (Act 549) 1996,Cross-cutting,"Since 1996, last amended in April 2012",https://jsm.gov.my/images/1-about-dsm/corporate-info/document/Act_549_-_Standards_of_Malaysia_Act_1996_as_at_30_April_2012.pdf,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Self-certification limitations
Singapore,Apec Mra For Conformity Assessment Of Telecommunications Equipment,Cross-cutting,Since 29 September 2023,https://www.apec.org/groups/som-steering-committee-on-economic-and-technical-cooperation/working-groups/telecommunications-and-information/apec_tel-mra,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Self-certification limitations
Singapore,Apec Electronical And Electronic Equipment Mutual Recognition Arrangement,Cross-cutting,Since October 2010,https://www.apec.org/groups/committee-on-trade-and-investment/sub-committee-on-standards-and-conformance/apec_eemra ,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Self-certification limitations
Singapore,Multi-Tier Cloud Security (Mtcs) Certification Scheme,Cross-cutting,Last reviewed in September 2024,https://www.imda.gov.sg/regulations-and-licensing-listing/ict-standards-and-quality-of-service/it-standards-and-frameworks/cloud-computing-and-services,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Product screening & testing requirements
Singapore,"Reference Specification, Quantum Key Distribution Networks",Cross-cutting,Since April 2023,https://www.imda.gov.sg/-/media/imda/files/regulation-licensing-and-consultations/ict-standards/telecommunication-standards/imda-technical/1c-draft-imda-rs-qkdn--issue-1--public-comment.pdf,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Product screening & testing requirements
Australia,Information Security Manual 2023,Cross-cutting,Since March 2023,https://www.cyber.gov.au/sites/default/files/2023-03/Information%20Security%20Manual%20-%20%28March%202023%29.pdf,Traditional trade policies,Pacific,Cross-cutting,Standards & procedures,Product screening & testing requirements
Malaysia,Sirim Qas International,ICT products,Since 2013,https://members.wto.org/crnattachments/2013/tbt/MYS/13_1791_00_e.pdf,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Product screening & testing requirements
Malaysia,Customs (Prohibition Of Exports) Order P.u. (A) 117 2023,ICT products,Since April 2023,https://www.customs.gov.my/en/pg/Pages/pg_prthkastam.aspx,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Product screening & testing requirements
Singapore,Infocomm Media Development Authority (Imda) Guide For Registration Of Telecommunication Equipment,"Telecommunication sector, Information Technology, Wireless and Radio Equipment.",Since September 2016,https://www.imda.gov.sg/regulations-and-licensing-listing/dealer-and-equipment-registration-framework/equipment-registration-framework,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Product screening & testing requirements
Singapore,Technical Specification For Security Requirements For Private Automatic Branch Exchanges (Imda Ts Pabx),Private Automatic Branch Exchanges,Since 28 August 2024,https://www.imda.gov.sg/-/media/imda/files/regulation-licensing-and-consultations/ict-standards/telecommunication-standards/line/imda-ts-pabx-sec.pdf,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Product screening & testing requirements
Australia,Australian Signals Directorate Cryptographic Evaluation,Government & Classified Data,Not Available,https://www.cyber.gov.au/acsc/view-all-content/guidance/asd-approved-cryptographic-algorithms,Traditional trade policies,Pacific,Sectoral,Standards & procedures,Encryption standard issues
Malaysia,My Cryptographic Module Validation - Iso/Iec 19790 Published By The Ministry Of Digital,Encryption,Last review in October 2024,https://www.cybersecurity.my/en/our_services/crypto/main/detail/2741/index.html,Traditional trade policies,South-East Asia,Sectoral,Standards & procedures,Encryption standard issues
Australia,Intelligence Services Act 2001,Government & Classified Data,"Since October 2001, last amended in September 2024",https://www.legislation.gov.au/C2004A00928,Traditional trade policies,Pacific,Sectoral,Standards & procedures,Encryption standard issues
Australia,Corporations Act 2001,E-commerce,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Foreign equity limits in e-commerce sector
Malaysia,Electronic Commerce Act (Act 658) 2006,E-commerce Service,Since October 2006,http://www.commonlii.org/my/legis/consol_act/eca2006182/,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Foreign equity limits in e-commerce sector
Malaysia,Guideline On Foreign Participation In The Distributive Trade Services Malaysia 2020,Distributive trade activities,Since 2020,https://www.mida.gov.my/wp-content/uploads/2020/07/20191220163621_BOOKLET-8-DISTRIBUTIVE-TRADE-SERVICES.pdf,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Foreign equity limits in e-commerce sector
Malaysia,Guidelines On Foreign Participation In Distributive Trade Services In Malaysia Published By Ministry Of Domestic Trade And Consumer Affairs 2020,E-commerce Service,Since 2020,https://aseanconsumer.org/file/post_image/Act%20658%20-%20Electronic%20Commerce%20Act%202006.pdf,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Foreign equity limits in e-commerce sector
Australia,The Australian Guidelines For Electronic Commerce 2006,E-commerce,Since 2006,https://treasury.gov.au/sites/default/files/2019-03/australian_guidelines_for_electronic_commerce.pdf,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Foreign equity limits in e-commerce sector
Singapore,Companies Act 1967,E-commerce,Since December 1967 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Foreign equity limits in e-commerce sector
Malaysia,Electronic Commerce Act (Act 658) 2006,E-commerce Service,Since October 2006,http://www.commonlii.org/my/legis/consol_act/eca2006182/,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online purchases and delivery limitations
Singapore,Electronic Transactions Act 2010,E-commerce,Since July 2010 last amended in December 2021,https://sso.agc.gov.sg/Act/ETA2010,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online purchases and delivery limitations
Australia,The Australian Guidelines For Electronic Commerce 2006,E-commerce,Since 2006,https://treasury.gov.au/sites/default/files/2019-03/australian_guidelines_for_electronic_commerce.pdf,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online purchases and delivery limitations
Malaysia,Guidelines On Foreign Participation In Distributive Trade Services In Malaysia Published By Ministry Of Domestic Trade And Consumer Affairs 2020,E-commerce Service,Since 2020,https://aseanconsumer.org/file/post_image/Act%20658%20-%20Electronic%20Commerce%20Act%202006.pdf,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online purchases and delivery limitations
Singapore,Business Names Registration Act 2014,Cross-cutting,Since 3 January 2016 last amended 26 in February 2024,https://sso.agc.gov.sg//Act/BNRA2014,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. "
Australia,Corporations Act 2001,E-commerce,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Digital governance policies,Pacific,Sectoral,Online sales & transactions,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. "
Malaysia,Electronic Commerce Act (Act 658) 2006,E-commerce Service,Since October 2006,http://www.commonlii.org/my/legis/consol_act/eca2006182/,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. "
Singapore,Broadcasting (Class Licence) Notification 2004,E-commerce,Since 2004,https://sso.agc.gov.sg/SL/BA1994-N1?DocDate=20161227,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. "
Malaysia,Guidelines On Foreign Participation In Distributive Trade Services In Malaysia Published By Ministry Of Domestic Trade And Consumer Affairs 2020,E-commerce Service,Since 2020,http://www.commonlii.org/my/legis/consol_act/eca2006182/,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. "
Australia,The Australian Guidelines For Electronic Commerce 2006,E-commerce,Not Available,https://treasury.gov.au/sites/default/files/2019-03/australian_guidelines_for_electronic_commerce.pdf,Digital governance policies,Pacific,Sectoral,Online sales & transactions,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. "
Singapore,Payment Services Act 2019,Digital Payment services,Since 2019 last amended in July 2021,https://sso.agc.gov.sg/Act/PSA2019,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: mandate local bank account
Malaysia,Financial Services Act (Act 758) 2013,Cross-cutting,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: mandate local bank account
Australia,Anti-Money Laundering And Counter-Terrorism Financing Act 2006,Payment services,"Since December 2006, last amended in October 2024",https://www.legislation.gov.au/C2006A00169,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: mandate local bank account
Singapore,Payment Services Act 2019,Digital Payment services,Since 2019 last amended in July 2021,https://sso.agc.gov.sg//Act/PSA2019,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: mandate currency used for international payments
Australia,Anti-Money Laundering And Counter-Terrorism Financing Act 2006,Payment services,"Since December 2006, last amended in October 2024",https://www.legislation.gov.au/C2006A00169,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: mandate currency used for international payments
Malaysia,Financial Services Act (Act 758) 2013,Cross-cutting,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: mandate currency used for international payments
Malaysia,Financial Services Act (Act 758) 2013,Cross-cutting,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: deviate national standards
Singapore,Technical Reference 76 (Tr 76),Digital Payment services,Since 2020,https://www.mha.gov.sg/mediaroom/press-releases/introduction-of-e-commerce-marketplace-transaction-safety-ratings-and-revised-technical-reference-76-on-e-commerce-transactions/,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: deviate national standards
Australia,Payment Systems (Regulation) Act 1998,Payment services,"Since June 1998, last amended in October 2020",https://www.legislation.gov.au/C2004A00318,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: deviate national standards
Singapore,Singapore Quick Response Code (Sgqr),Digital Payment services,Since 2018,https://www.mas.gov.sg/development/e-payments/sgqr,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: deviate national standards
Malaysia,Bank Negara Malaysia (Bnm) Policy Document On Electronic Money 2022,Cross-cuttingElectronic Money,Since December 2022,https://www.bnm.gov.my/documents/20124/943361/PD-eMoney-202302.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: licensing requirements
Malaysia,Financial Services Act (Act 758) 2013,Cross-cuttingElectronic Money,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: licensing requirements
Singapore,Payment Services Act 2019,Digital Payment services,Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: licensing requirements
Australia,Banking Act 1959,Payment services,"Since April 1959, last amended in October 2024",https://www.legislation.gov.au/Details/C2021C00088,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: licensing requirements
Malaysia,Financial Services Act (Act 758) 2013,Electronic Money,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: ceiling on the maximum amount 
Australia,Anti-Money Laundering And Counter-Terrorism Financing Act 2006,Payment services,"Since December 2006, last amended in October 2024",https://www.legislation.gov.au/C2006A00169/latest/text,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: ceiling on the maximum amount 
Malaysia,Bank Negara Malaysia (Bnm) Policy Document On Electronic Money 2022,Electronic Money,Since December 2022,https://www.bnm.gov.my/documents/20124/943361/PD-eMoney-202302.pdf,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: ceiling on the maximum amount 
Australia,Electronic Transactions Act 1999,Payment services,"Since December 1999, last amended in 2011",https://www.legislation.gov.au/C2004A00553,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: ceiling on the maximum amount 
Singapore,Payment Services Act 2019,Digital Payment services,Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: ceiling on the maximum amount 
Malaysia,Financial Services Act (Act 758) 2013,Cross-cutting,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: mandate specific intermediaries
Australia,Anti-Money Laundering And Counter-Terrorism Financing Act 2006,Payment services,"Since December 2006, last amended in October 2024",https://www.legislation.gov.au/C2006A00169,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: mandate specific intermediaries
Singapore,Payment Services Act 2019,Digital Payment services,Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: mandate specific intermediaries
Australia,Competition And Consumer Act 2010,Payment services,"Since August 1974, last amended in October 2024",https://www.legislation.gov.au/C2004A00109,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: mandate specific intermediaries
Singapore,Payment Services Act 2019,Digital Payment services,Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Online payment limitations: others restrictions
Australia,The Australian Guidelines For Electronic Commerce 2006,E-commerce,Not Available,https://treasury.gov.au/sites/default/files/2019-03/australian_guidelines_for_electronic_commerce.pdf,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: others restrictions
Australia,Electronic Transactions Act 1999,E-commerce,"Since December 1999, last amended in 2011",https://www.legislation.gov.au/Details/C2011C00445,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Online payment limitations: others restrictions
Malaysia,Financial Services Act (Act 758) 2013,Cross-cutting,Since March 2013,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Online payment limitations: others restrictions
Malaysia,Customs (Prohibition Of Imports) Order P.u. (A) 117 2023,Cross-cutting,Since April 2023,https://mylvg.customs.gov.my/uploads/4.%20Sales%20Tax%20(Low%20Value%20Goods)%20Regulations%202022%20(Attachment%204).pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Low De Minimis
Singapore,Inland Revenue Authority Of Singpore Gst On Imported Low-Value Goods,Cross-cutting,"Since January 1, 2023",https://www.iras.gov.sg/taxes/goods-services-tax-(gst)/consumers/gst-on-imported-low-value-goods,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Low De Minimis
Singapore,Goods And Services Tax Act 1993,Cross-cutting,Since 1993 last amended in September 2022,https://sso.agc.gov.sg/Act/GSTA1993,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Low De Minimis
