country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,pillar.name,policy.description
Malaysia,Criminal Procedure Code (Act 593) 2018,Cross-cutting,"Since July 1936, last amended in March 2017",https://cyrilla.org/api/files/1568727997327dm3cpb84eaw.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Singapore,Criminal Procedure Code 2010,Cross-cutting,Since January 2011 last amended in2024,https://sso.agc.gov.sg/Act/CPC2010,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Malaysia,Cyber Security Act (Act 854) 2024,Cross-cutting,Since June 2024,https://lokekinggoh.com/layout2/wp-content/uploads/2024/06/Act-854.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
Malaysia,Cyber Security Act (Act 854) 2024,Cross-cutting,Since June 2024,https://lokekinggoh.com/layout2/wp-content/uploads/2024/06/Act-854.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Singapore,Cybersecurity Act 2018,Cross-cutting,Since 2018,https://sso.agc.gov.sg/Acts-Supp/9-2018/?ProvIds=Sc2-#Sc2-,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
Australia,Data Availability And Transparency Act 2022,Cross-cutting,"Since March 2022, last amended October 2024/Since March 2022, last amended in October 2024",https://www.legislation.gov.au/C2022A00011/latest/text,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Singapore,Digital Economy Agreement Between The United Kingdom Of Great Britain And Northern Ireland And The Republic Of Singapore,Cross-cutting,Since 2022,https://rcepsec.org,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Singapore,Digital Economy Partnership Agreement (DEPA) - Singapore,Cross-cutting,Since 2024,https://www.mti.gov.sg/Trade/Digital-Economy-Agreements/UKSDEA,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Singapore,Employment Act 1968,Employment records,"Since 1968, last amended in April 2019",https://sso.agc.gov.sg/Act/EmA1968,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Free Trade Agreement Between The Democratic Socialist Republic Of Sri Lanka And The Republic Of Singapore,Cross-cutting,Since 2018,https://aanzfta.asean.org/aanzfta-overview,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Singapore,Guide To Data Protection Impact Assessments,Cross-cutting,November 2017 last amended September 2021,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Other-Guides/DPIA/Guide-to-Data-Protection-Impact-Assessments-14-Sep-2021.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Data Protection Impact Assessment or Data Protection Officer requirements
Malaysia,Income Tax Act (Act 53) 1967,Income tax records,"Since September 1967, last amended in December 2018",https://www.hasil.gov.my/media/znonhmuj/20231101-income-tax-act-1967-act-53.pdf,Digital governance policies,South-East Asia,Sectoral,Cross-border data policies,Local storage requirements
Malaysia,Income Tax Act (Act 53) 1967,Income tax records,"Since September 1967, last amended in December 2018",https://www.hasil.gov.my/media/znonhmuj/20231101-income-tax-act-1967-act-53.pdf,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Income Tax Act 1947,Income records,"Since 1948, last amended in October 2023",https://sso.agc.gov.sg/Act/ITA1947,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Korea-Singapore Digital Partnership Agreement (Ksdpa),Cross-cutting,Since 2023,"https://www.enterprisesg.gov.sg/grow-your-business/go-global/international-agreements/free-trade-agreements/find-an-fta/slsfta#:~:text=The%20Sri%20Lanka%2DSingapore%20Free,operating%20environment%20for%20service%20suppliers.",Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Singapore,Licence To Provide Facilities-Based Operations Granted By The Info-Communications Media Development Authority To Singapore Telecommunications Limited Under Section 5 Of The Telecommunications Act (Chapter 323),Cross-cutting,Since April 1992,https://www.imda.gov.sg/regulations-and-licences/licensing/list-of-telecommunication-and-postal-service-licensees/-/media/Imda/Files/Regulation-Licensing-and-Consultations/Licensing/Licensees/FBO/SingTelLtd.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Australia,My Health Records Act 2012,Personal Health Data,"Since June 2012, last amended in October 2024",https://www.legislation.gov.au/C2012A00063,Digital governance policies,Pacific,Sectoral,Cross-border data policies,Ban & local processing requirements
Australia,My Health Records Act 2012,Personal Health Data,"Since June 2012, last amended in October 2024",https://www.legislation.gov.au/C2012A00063,Digital governance policies,Pacific,Sectoral,Cross-border data policies,Local storage requirements
Singapore,Pacific Alliance-Singapore Free Trade Agreement (Pasfta),Cross-cutting,Since 2025,https://www.mti.gov.sg/Trade/Digital-Economy-Agreements/KSDPA,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Singapore,Personal Data Protection (Amendment) Act 2020,Cross-cutting,Since February 2021,https://www.pdpc.gov.sg/Overview-of-PDPA/The-Legislation/Personal-Data-Protection-Act,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Ban & local processing requirements
Singapore,Personal Data Protection (Amendment) Act 2020,Cross-cutting,Since February 2021,https://sso.agc.gov.sg/Acts-Supp/40-2020/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Infrastructure requirements
Singapore,Personal Data Protection (Amendment) Act 2020,Cross-cutting,Since February 2021,https://www.pdpc.gov.sg/Overview-of-PDPA/The-Legislation/Personal-Data-Protection-Act,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Conditional flow regimes
Singapore,Personal Data Protection (Amendment) Act 2020,Cross-cutting,Since February 2021,https://www.pdpc.gov.sg/Overview-of-PDPA/The-Legislation/Personal-Data-Protection-Act,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Singapore,Personal Data Protection (Amendment) Act 2020,Cross-cutting,Since February 2021,https://www.pdpc.gov.sg/Overview-of-PDPA/The-Legislation/Personal-Data-Protection-Act,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Personal Data Protection (Amendment) Act 2020,Cross-cutting,Since February 2021,https://sso.agc.gov.sg/Acts-Supp/40-2020/,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Ban & local processing requirements
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024/Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Local storage requirements
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Infrastructure requirements
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Conditional flow regimes
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Data Protection Impact Assessment or Data Protection Officer requirements
Malaysia,Personal Data Protection Act (Act 709) 2010,Cross-cutting,"Since November 2013, last amended in 2024",https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Ban & local processing requirements
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Infrastructure requirements
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Conditional flow regimes
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since July 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Data Protection Impact Assessment or Data Protection Officer requirements
Singapore,Personal Data Protection Act 2012,Cross-cutting,Since 2012 last amended on 1 February 2021,https://sso.agc.gov.sg/Act/PDPA2012,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Malaysia,Personal Data Protection Code Of Practice For Banking Sector And Financial Institutions 2017,Cross-cutting,Since January 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Ban & local processing requirements
Malaysia,Personal Data Protection Code Of Practice For Banking Sector And Financial Institutions 2017,Cross-cutting/Financial service,Since January 2017/Since January 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Local storage requirements
Malaysia,Personal Data Protection Code Of Practice For Banking Sector And Financial Institutions 2017,Financial service,Since January 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Sectoral,Cross-border data policies,Conditional flow regimes
Malaysia,Personal Data Protection Code Of Practice For Banking Sector And Financial Institutions 2017,Financial service,Since January 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Malaysia,Personal Data Protection Code Of Practice For Banking Sector And Financial Institutions 2017,Financial service,Since January 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Malaysia,Personal Data Protection Code Of Practice For Banking Sector And Financial Institutions 2017,Financial service,Since January 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
Malaysia,Personal Data Protection Code Of Practice For Licensees Under The Communications And Multimedia (Act 1998) Of 2017,Cross-cutting,Since November 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-the-communications-sector/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Local storage requirements
Malaysia,Personal Data Protection Code Of Practice For Licensees Under The Communications And Multimedia (Act 1998) Of 2017,Cross-cutting,Since November 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-the-communications-sector/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Infrastructure requirements
Malaysia,Personal Data Protection Code Of Practice For Licensees Under The Communications And Multimedia (Act 1998) Of 2017,Cross-cutting,Since November 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-the-communications-sector/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Conditional flow regimes
Malaysia,Personal Data Protection Code Of Practice For Licensees Under The Communications And Multimedia (Act 1998) Of 2017,Cross-cutting,Since November 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-the-communications-sector/,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Malaysia,Personal Data Protection Code Of Practice For Licensees Under The Communications And Multimedia (Act 1998) Of 2017,Communications Sector,Since November 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-the-communications-sector/,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Malaysia,Personal Data Protection Code Of Practice For Licensees Under The Communications And Multimedia (Act 1998) Of 2017,Communications Sector,Since November 2017,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-the-communications-sector/,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
Malaysia,Personal Data Protection Standard 2015,Cross-cutting,Since December 2015,https://www.viatris.com/-/media/project/common/viatris/pdf/malaysia/malaysian-personal-data-protection-act-updated-2015.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://f.datasrvr.com/fr1/224/81715/DR_21_BI.pdf,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Ban & local processing requirements
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Local storage requirements
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://www.pdp.gov.my/ppdpv1/akta/akta-pdppindaan-2024/,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Conditional flow regimes
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://f.datasrvr.com/fr1/224/81715/DR_21_BI.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://f.datasrvr.com/fr1/224/81715/DR_21_BI.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://f.datasrvr.com/fr1/224/81715/DR_21_BI.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Data Protection Impact Assessment or Data Protection Officer requirements
Malaysia,Personal Data Protection(Amendment) Bill (Act A1727) 2024,Cross-cutting,Since July 2024,https://f.datasrvr.com/fr1/224/81715/DR_21_BI.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Australia,Privacy Act 1988,Cross-cutting,"Since December 1988, last amended in October 2024",https://www.legislation.gov.au/C2004A03712,Digital governance policies,Pacific,Cross-cutting,Cross-border data policies,Infrastructure requirements
Australia,Privacy Act 1988,Cross-cutting,"Since December 1988, last amended in October 2024",https://www.legislation.gov.au/C2004A03712,Digital governance policies,Pacific,Cross-cutting,Cross-border data policies,Conditional flow regimes
Australia,Privacy Act 1988,Cross-cutting,"Since December 1988, last amended in October 2024",https://www.legislation.gov.au/C2004A03712,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Australia,Privacy Act 1988,Cross-cutting,"Since December 1988, last amended in October 2024",https://www.legislation.gov.au/C2004A03712/latest/versions,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
Australia,Privacy Impact Assessment 2020,Cross-cutting,Since 2020,https://www.oaic.gov.au/privacy/guidance-and-advice/privacy-management-framework-enabling-compliance-and-encouraging-good-practice/#step-1-embed-a-culture-of-privacy-that-enables-compliance,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Data Protection Impact Assessment or Data Protection Officer requirements
Singapore,Regional Comprehensive Economic Partnership (Rcep),Cross-cutting,Since 2022,https://www.enterprisesg.gov.sg/grow-your-business/go-global/international-agreements/free-trade-agreements/find-an-fta/pacific-alliance-singapore-free-trade-agreement,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Malaysia,Regional Comprehensive Economic Partnership (Rcep),Cross-cutting,Since January 2022,https://www.mfat.govt.nz/en/trade/free-trade-agreements/free-trade-agreements-in-force/cptpp/comprehensive-and-progressive-agreement-for-trans-pacific-partnership-text-and-resources,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Australia,Security Of Critical Infrastructure Act 2018,Cross-cutting,"Since April 2018, last amended in October 2023",https://www.legislation.gov.au/C2018A00029/latest/versions,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
Malaysia,Security Offences (Special Measures) Act (Act 747) 2012,Cross-cutting,"Since June 2012, last amended in June 2015",https://cyrilla.org/api/files/1568729125117t97ha9lu92p.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Malaysia,Services Tax Act (Act 807) 2018,Service tax records,Since January 2023,https://www.investmalaysia.gov.my/media/rsoj31eh/service-tax-act-2018.pdf,Digital governance policies,South-East Asia,Sectoral,Cross-border data policies,Local storage requirements
Malaysia,Services Tax Act (Act 807) 2018,Service tax records,Since January 2023,https://www.investmalaysia.gov.my/media/rsoj31eh/service-tax-act-2018.pdf,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Singapore-Australia Free Trade Agreement,Cross-cutting,Since 2017,https://www.dfat.gov.au/trade/agreements/in-force/safta/singapore-australia-fta,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Australia,Singapore-Australia Free Trade Agreement//Australia-Peru Free Trade Agreement//Comprehensive And Progressive Agreement For Trans-Pacific Partnership/ /Indonesia - Australia Comprehensive Economic Partnership Agreement/ /Australia-Hong Kong Free Trade Agreement And Associated Investment Agreement/ /Australia-United Kingdom Free Trade Agreement/ /Australia-United States Cloud Act Agreement/ /Australia-Singapore Digital Economy Agreement//Apec Cross-Border Privacy Rules (Cbpr),Cross-cutting,In force since 2017//In force since 2020//In force since 2018//In force since 2020//In force since 2020/ In force since 2023//In force since 2021//In force since 2020//Since July 2017,https://www.dfat.gov.au/trade/agreements/in-force/safta/singapore-australia-fta,Digital governance policies,Pacific,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Singapore,Specific Terms And Conditions For Ip Telephony Services,Cross-cutting,Last reviewed in September 2024,https://www.imda.gov.sg/~/media/imda/files/inner/pcdg/consultations/20040921_propoiptelephony/tcsforiptelephony240605.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Australia,Surveillance Legislation Amendment (Identify And Disrupt) Act 2021,Cross-cutting,Since September 2021,https://www.legislation.gov.au/Details/C2021A00098,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Australia,Telecommunications (Interception And Access) Act 1979,Internet and mobile service providers,"Since October 1979, last amended in October 2024",https://www.legislation.gov.au/C2004A02124/latest/text,Digital governance policies,Pacific,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Australia,Telecommunications (Interception And Access) Act 1979,Telecommunications services,"Since October 1979, last amended in October 2024",https://www.legislation.gov.au/C2004A02124/,Digital governance policies,Pacific,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
Australia,Telecommunications Act 1997,Telecommunications services,"Since April 1997, last amended in October 2024",https://www.legislation.gov.au/F2021L00289,Digital governance policies,Pacific,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
Singapore,Telecommunications Act 1999,Cross-cutting,Since December 1999 last amened in December 2021,https://sso.agc.gov.sg/Act/TA1999#pr3-,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Minimum period of data retention requirements
Australia,Telecommunications And Other Legislation Amendment (Assistance And Access) Act 2018,Telecommunications services,"Since December 2018, last amended in September 2021",https://www.legislation.gov.au/Details/C2021C00496,Digital governance policies,Pacific,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
Australia,Telecommunications Legislation Amendment (International Production Orders) Act 2021,Telecommunications services,Since July 2021,https://www.legislation.gov.au/Details/C2021A00078,Digital governance policies,Pacific,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
Australia,Telecommunications Regulations 2021,Telecommunications services,"Since March 2021, last amended in October 2024",https://www.legislation.gov.au/Details/C2023C00106,Digital governance policies,Pacific,Sectoral,Domestic data protection & privacy,Requirements to allow government access to personal data
